name,kind,bus0,bus1,v_nom,s_nom,length
11-42404-1,line,11,42404,38.0,100.0,1.0
12-25404-1,line,12,25404,38.0,9999.0,1.4
12-25404-3,line,12,25404,38.0,9999.0,1.52
12-46504-1,line,12,46504,38.0,9999.0,5.14
12-46504-2,line,12,46504,38.0,9999.0,3.96
10901-10902-1,line,10901,10902,10.0,9999.0,0.0
11204-11224-1,line,11204,11224,38.0,44.1,13.0
11204-11234-1,line,11204,11234,38.0,10.2,6.0
11234-11244-1,line,11234,11244,38.0,44.1,23.5
11234-11254-1,line,11234,11254,38.0,10.2,12.3
11402-68534-1,line,11402,68534,20.0,999.0,0.0
11404-11414-1,line,11404,11414,38.0,44.1,20.45
12201-12211-1,line,12201,12211,10.0,9999.0,1.75
12504-12534-1,line,12504,12534,38.0,33.6,6.11
12512-12522-1,line,12512,12522,20.0,14.27,2.75
12514-12524-1,line,12514,12524,38.0,33.6,3.31
12522-12532-1,line,12522,12532,20.0,14.27,2.55
12582-12592-1,line,12582,12592,20.0,120.0,2.1
12702-12712-1,line,12702,12712,20.0,14.27,3.3
12804-12814-1,line,12804,12814,38.0,44.1,18.0
12804-22254-1,line,12804,22254,38.0,19.7,10.5
13001-13011-1,line,13001,13011,10.0,9999.0,0.0
13011-13023-1,line,13011,13023,10.0,9999.0,0.0
13114-13124-1,line,13114,13124,38.0,33.6,0.4
13114-13134-1,line,13114,13134,38.0,44.1,9.7
13204-13271-1,line,13204,13271,38.0,30.2,0.0
13404-13424-1,line,13404,13424,38.0,33.6,13.7
13404-13434-1,line,13404,13434,38.0,33.6,7.4
13404-13494-1,line,13404,13494,38.0,999.0,0.0
13404-17044-1,line,13404,17044,38.0,10.0,0.0
13422-68269-1,line,13422,68269,20.0,18.1,9.2
13424-13484-1,line,13424,13484,38.0,25.3,3.3
13434-13464-1,line,13434,13464,38.0,33.6,6.2
13444-13454-1,line,13444,13454,38.0,51.0,4.3
13444-13494-1,line,13444,13494,38.0,44.1,4.0
14001-14006-1,line,14001,14006,10.0,7.1,5.2
14004-14024-1,line,14004,14024,38.0,33.6,12.3
14014-14054-1,line,14014,14054,38.0,19.7,5.8
14014-14064-1,line,14014,14064,38.0,51.0,4.9
14024-14034-1,line,14024,14034,38.0,19.7,16.6
14064-14074-1,line,14064,14074,38.0,38.0,7.2
14204-68298-1,line,14204,68298,38.0,9999.0,0.0
14204-68300-1,line,14204,68300,38.0,9999.0,0.0
14402-14412-1,line,14402,14412,20.0,13.2,9.1
14404-14405-1,line,14404,14405,38.0,10.2,0.0
14404-14414-1,line,14404,14414,38.0,10.2,15.3
14604-14605-1,line,14604,14605,38.0,38.0,0.0
14604-14614-1,line,14604,14614,38.0,38.0,13.7
15102-15112-1,line,15102,15112,20.0,28.4,3.7
15102-15122-1,line,15102,15122,20.0,14.27,0.5
15102-15142-1,line,15102,15142,20.0,28.4,3.7
15102-15162-1,line,15102,15162,20.0,18.1,1.45
15122-15132-1,line,15122,15132,20.0,14.27,8.55
15502-15512-1,line,15502,15512,20.0,999.0,0.0
15504-15514-1,line,15504,15514,38.0,10.2,8.0
15504-15534-1,line,15504,15534,38.0,44.1,3.7
15702-68260-1,line,15702,68260,20.0,14.27,3.5
16302-16362-1,line,16302,16362,20.0,14.27,7.0
16302-16366-1,line,16302,16366,20.0,14.27,11.9
16312-16354-1,line,16312,16354,20.0,14.27,11.0
16312-16367-1,line,16312,16367,20.0,14.27,5.6
16312-16384-1,line,16312,16384,20.0,18.1,7.1
16312-16394-1,line,16312,16394,20.0,18.1,7.1
16351-16361-1,line,16351,16361,20.0,14.27,2.5
16351-16366-1,line,16351,16366,20.0,14.27,0.75
16354-16364-1,line,16354,16364,20.0,14.27,0.25
16354-16365-1,line,16354,16365,20.0,14.27,0.25
17004-69197-1,line,17004,69197,38.0,44.1,6.4
18312-18322-1,line,18312,18322,20.0,18.1,3.55
18604-18614-1,line,18604,18614,38.0,16.4,14.69
18604-18624-1,line,18604,18624,38.0,25.3,31.3
18604-18634-1,line,18604,18634,38.0,16.4,20.02
18802-68115-1,line,18802,68115,20.0,18.1,0.48
18802-68123-1,line,18802,68123,20.0,18.1,7.0
18804-18834-1,line,18804,18834,38.0,33.6,12.1
18812-18832-1,line,18812,18832,20.0,14.27,9.8
18812-68303-1,line,18812,68303,20.0,14.27,8.2
18814-18824-1,line,18814,18824,38.0,44.1,10.47
18824-67031-1,line,18824,67031,38.0,44.1,5.2
18824-68224-1,line,18824,68224,38.0,25.3,1.76
19002-19072-1,line,19002,19072,20.0,18.1,14.6
19004-19014-1,line,19004,19014,38.0,10.2,8.3
19302-19312-1,line,19302,19312,20.0,18.1,18.3
19302-19322-1,line,19302,19322,20.0,18.1,18.3
19318-19322-1,line,19318,19322,20.0,999.0,0.0
19601-19602-1,line,19601,19602,10.0,9999.0,0.0
21004-21014-1,line,21004,21014,38.0,10.2,23.8
21004-21024-1,line,21004,21024,38.0,10.2,13.4
21004-21034-1,line,21004,21034,38.0,44.1,25.0
21014-21024-1,line,21014,21024,38.0,33.6,7.2
21034-68404-1,line,21034,68404,38.0,15.8,7.18
21212-21222-1,line,21212,21222,20.0,14.27,0.9
21404-21414-1,line,21404,21414,38.0,51.0,2.3
21412-21422-1,line,21412,21422,20.0,14.27,10.0
21601-21611-1,line,21601,21611,10.0,999.0,0.0
21604-21614-1,line,21604,21614,38.0,10.2,9.1
21604-21634-1,line,21604,21634,38.0,51.0,4.7
21612-21622-1,line,21612,21622,20.0,14.27,1.6
21614-21624-1,line,21614,21624,38.0,44.1,6.5
21801-21811-1,line,21801,21811,10.0,999.0,0.0
