name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
10-LD,3781,AC,23.38,-1.94,10,F_M,True
11-LD,3781,AC,20.97,-1.93,11,FMN LOOP,True
12-LD,2541,AC,15.15,0.34,12,BEDFORD ROW,True
13-LD,4651,AC,23.43,-0.8,13,M_R,True
14-LD,3081,AC,17.95,1.42,14,F_I,True
15-LD,3871,AC,18.05,0.1,15,I_M,True
1101-I,1101,AC,14.0,6.9,1101,ANNER,False
4341-I,4341,AC,0.3,0.1,4341,OLDCOURT,False
10204-LD,1021,AC,23.1,1.42,10204,ARDNACRUSHA,True
10205-LD,1021,AC,9.97,1.0,10205,ARDNACRUSHA,True
10602-LD,1061,AC,1.2,-0.56,10602,ARIGNA,True
10801-LD,1081,AC,1.44,-0.57,10801,AHANE,True
10902-I,1091,AC,9.5,3.12,10902,ADAMSTOWN,True
10902-LD,1091,AC,2.99,0.5,10902,ADAMSTOWN,True
11201-LD,1121,AC,2.35,-0.02,11201,ARKLOW,True
11204-LD,1121,AC,19.94,-10.45,11204,BIO_ARKLOW,True
11404-LD,1141,AC,25.63,-4.92,11404,ATHLONE,True
12001-LD,1201,AC,3.68,-0.71,12001,ARTANE,True
12201-LD,1221,AC,6.26,0.56,12201,ATHY,True
12702-LD,1271,AC,4.98,-1.41,12702,BALTRASNA,True
12804-LD,1281,AC,5.18,-3.46,12804,HY_BALLYLICK,True
13001-LD,1301,AC,4.43,-0.94,13001,BALLYBEG,True
13204-LD,1321,AC,7.04,-0.09,13204,BLAKE,True
13302-I,1331,AC,9.5,3.12,13302,BLUNDELSTOWN,True
13404-LD,1341,AC,7.02,-0.67,13404,HY_BINBANE,True
13501-I,1351,AC,5.26,0.82,13501,BARODA,True
13601-I,1361,AC,5.99,1.67,13601,BALLYDINE,True
13604-LD,1361,AC,3.44,0.43,13604,BALLYDINE,True
13702-I,1371,AC,35.78,3.94,13702,BARNAGEERAGH,True
13802-LD,1381,AC,19.9,3.84,13802,BARNAHELY,True
13804-LD,1381,AC,6.63,1.28,13804,BARNAHELY,True
13812-LD,13810,AC,3.68,0.71,13812,BARNAHELY,True
14004-LD,1401,AC,1.92,-0.4,14004,BELLACORICK,True
14102-I,1411,AC,59.94,2.68,14102,AIRTON,True
14204-LD,1421,AC,20.07,6.28,14204,BLACKROCK,True
