name,bus,control,p_nom,p_min_pu,p_set,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated
10271-1,10271,PV,21.0,0.23809523809523808,20.0,-7.0,1.0,hydro,1.0,10271.0,HY_ARDNG1,False
10272-2,10272,PV,22.0,0.22727272727272727,20.0,-7.0,1.0,hydro,1.0,10272.0,HY_ARDNG2,False
10273-3,10273,PV,19.0,0.2631578947368421,10.0,-7.0,1.0,hydro,1.0,10273.0,HY_ARDNG3,False
10274-4,10274,PV,24.0,0.20833333333333334,20.0,-7.0,1.0,hydro,1.0,10274.0,HY_ARDNG4,False
10470-1,10470,PV,456.69,0.4861065493004007,449.0,-122.417,1.0,gas,90.0,10470.0,AGH_CCGT,False
12101-XX,12101,PV,100.0,0.0,0.0,-94.492,1.0,unknown,60.0,12101.0,BALLYVOUSKIL,False
14703-XX,14703,PV,250.0,0.0,0.0,-94.835,1.0,unknown,60.0,14703.0,BLC STATCOM,False
17073-3,17073,PV,22.5,0.2222222222222222,20.0,-25.0,1.0,hydro,1.0,17073.0,HY_CATHG3,False
17074-4,17074,PV,23.0,0.21739130434782608,20.0,-25.0,1.0,hydro,1.0,17074.0,HY_CATHG4,False
19317-XX,19317,PV,6.0,0.0,0.0,-0.0,1.0,unknown,60.0,19317.0,CUNG_SCOM,False
20771-1,20771,PV,280.0,0.21428571428571427,187.0,-97.421,1.0,unknown,60.0,20771.0,KILSHANE,False
24471-1,24471,PV,55.0,0.4909090909090909,48.0,-10.0,1.0,unknown,60.0,24471.0,BELLEWSTOWN,False
24472-1,24472,PV,55.0,0.4909090909090909,48.0,-10.0,1.0,unknown,60.0,24472.0,BELLEWSTOWN,False
24473-1,24473,PV,55.0,0.4909090909090909,48.0,-10.0,1.0,unknown,60.0,24473.0,BELLEWSTOWN,False
27361-XX,27361,PV,12.3,0.0,0.0,-0.0,1.0,unknown,60.0,27361.0,GAE_SCOM,False
27474-1,27474,PV,465.5,0.5048335123523093,396.0,-91.657,1.0,gas,90.0,27474.0,GI CCGT,False
28901-SC,28901,PV,130.0,-0.06153846153846154,0.0,0.0,1.0,unknown,60.0,28901.0,GLENCLOOSAGH,False
29673-2,29673,PV,400.0,0.485,400.0,-96.732,1.0,biomass,40.0,29673.0,BS_HUNTSTOWN,False
31271-1,31271,PV,403.9,0.4035652389205249,394.0,-100.0,1.0,unknown,60.0,31271.0,DUBLIN_BAY_P,False
