name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,coordinate_source,has_coordinates
1021,110.0,-8.6163685,52.7049873,1.02968,PQ,10271-1,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,7.8333,geocoded,True
1031,110.0,-7.10042415,53.8041927,1.02506,PQ,,0,BALRUNTAGH,BALRUNTAGH,1.0,7.0,7.0,IE,1.5634,neighbour mean,False
1041,110.0,-8.227215,51.8356384,1.00602,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,10.985,geocoded,True
1042,220.0,-8.227215,51.8356384,1.0,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,13.2279,geocoded,True
1052,220.0,-8.2298695,51.8324792,1.0,PQ,,0,AGHADA_B,AGHADA_B,1.0,10.0,10.0,IE,13.2279,geocoded,True
1061,110.0,-8.0755119,54.0945702,1.04408,PQ,,0,ARIGNA,ARIGNA,1.0,1.0,1.0,IE,2.8433,geocoded,True
1062,220.0,-8.2298695,51.8324792,1.0,PQ,,0,AGH_AT14,AGH_AT14,1.0,10.0,10.0,IE,13.2279,geocoded,True
1071,110.0,-8.5499195,53.0367354,1.04281,PQ,,0,AGANNYGAL,AGANNYGAL,1.0,4.0,4.0,IE,5.5677,geocoded,True
1072,220.0,-8.227215,51.8356384,1.00001,PQ,,0,AGHT2102,AGHT2102,1.0,10.0,10.0,IE,13.2167,geocoded,True
1081,110.0,-8.5076209,52.6617276,1.02704,PQ,,0,AHANE,AHANE,1.0,8.0,8.0,IE,7.7625,geocoded,True
1091,110.0,-6.4790891,53.3403233,1.00705,PQ,,0,ADAMSTOWN,ADAMSTOWN,1.0,11.0,11.0,IE,-0.3781,geocoded,True
1101,110.0,-7.6492028,52.3719788,1.00005,PQ,,0,ANNER,ANNER,1.0,8.0,8.0,IE,6.8375,geocoded,True
1121,110.0,-6.147732,52.8151839,1.01551,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,5.2084,geocoded,True
1122,220.0,-6.147732,52.8151839,1.00945,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,5.7927,geocoded,True
1131,110.0,-9.3004089,52.43755,1.04724,PQ,,0,ATHEA,ATHEA,1.0,5.0,5.0,IE,8.7798,geocoded,True
1141,110.0,-7.9745082,53.4230436,1.04419,PQ,,0,ATHLONE,ATHLONE,1.0,3.0,3.0,IE,2.9765,geocoded,True
1151,110.0,-9.2239086,52.602712350000004,1.00474,PQ,,0,BALLINKNOCKA,BALLINKNOCKA,1.0,5.0,5.0,IE,11.4199,neighbour mean,False
1161,110.0,-9.0514195,52.6252455,1.0,PQ,,0,AUGHINISH,AUGHINISH,1.0,5.0,5.0,IE,11.8872,geocoded,True
1181,110.0,-7.4943716,53.9086252,1.03996,PQ,,0,ARVA,ARVA,1.0,7.0,7.0,IE,1.2878,geocoded,True
1201,110.0,-6.2094672,53.382358,1.00783,PQ,,0,ARTANE,ARTANE,1.0,11.0,11.0,IE,3.4282,geocoded,True
1211,110.0,-9.0797175,52.0059847,1.0,PQ,12101-XX,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,9.9304,geocoded,True
1212,220.0,-9.0797175,52.0059847,1.01076,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,9.9276,geocoded,True
1221,110.0,-6.9993402,52.9934345,1.04053,PQ,,0,ATHY,ATHY,1.0,11.0,11.0,IE,4.3918,geocoded,True
1231,110.0,-6.2495207,52.5378526,1.02903,PQ,,0,BALLYWATER,BALLYWATER,1.0,9.0,9.0,IE,6.824,geocoded,True
1243,365.0,-8.3194761,51.9541985,1.00422,PQ,,0,CELTIC,CELTIC,2.0,10.0,10.0,IE,11.9049,neighbour mean,False
1244,380.0,-8.3194761,51.9541985,1.00644,PQ,,0,CELTIC,CELTIC,1.0,10.0,10.0,IE,11.9049,neighbour mean,False
1251,110.0,-9.240483,52.7756037,1.04656,PQ,,0,BOOLTIAGH,BOOLTIAGH,1.0,4.0,4.0,IE,7.2692,geocoded,True
1261,110.0,-6.4477366,53.3146332,0.99444,PQ,,0,BALDONNELL,BALDONNELL,1.0,11.0,11.0,IE,-2.2697,neighbour mean,False
1271,110.0,-6.4401389,53.5454415,1.00085,PQ,,0,BALTRASNA,BALTRASNA,1.0,7.0,7.0,IE,1.2263,geocoded,True
1281,110.0,-9.4296621,51.7239932,1.02023,PQ,,0,BALLYLICKEY,BALLYLICKEY,1.0,6.0,6.0,IE,8.5733,geocoded,True
1301,110.0,-6.0958665,52.9909581,1.01064,PQ,,0,BALLYBEG,BALLYBEG,1.0,9.0,9.0,IE,4.1606,geocoded,True
1311,110.0,-9.2855811,52.2145657,1.0018,PQ,,0,CORDAL,CORDAL,1.0,5.0,5.0,IE,9.6185,geocoded,True
1321,110.0,-6.8812414,53.2886399,1.02161,PQ,,0,BLAKE,BLAKE,1.0,11.0,11.0,IE,0.8487,geocoded,True
1331,110.0,-6.5335903,53.444432,1.00615,PQ,,0,BLUNDELSTOWN,BLUNDELSTOWN,1.0,11.0,11.0,IE,0.4974,geocoded,True
1341,110.0,-8.2634291,54.7189369,1.03233,PQ,,0,BINBANE,BINBANE,1.0,1.0,1.0,IE,-0.2664,geocoded,True
1351,110.0,-6.7752554,53.1859251,1.02665,PQ,,0,BARODA,BARODA,1.0,11.0,11.0,IE,0.9952,geocoded,True
1361,110.0,-7.5207213,52.361399,1.00116,PQ,,0,BALLYDINE,BALLYDINE,1.0,8.0,8.0,IE,7.4688,geocoded,True
1371,110.0,-6.3698501,53.4042822,0.9967,PQ,,0,BARNAGEERAGH,BARNAGEERAGH,1.0,11.0,11.0,IE,0.6668,geocoded,True
1381,110.0,-8.3442652,51.8284805,1.00623,PQ,,0,BARNAHELY,BARNAHELY,1.0,10.0,10.0,IE,10.4657,geocoded,True
1392,220.0,-7.3211845,53.3981429,1.0227,PQ,,0,CASTLELOST,CASTLELOST,1.0,3.0,3.0,IE,3.8791,geocoded,True
1401,110.0,-9.5787377,54.1205007,1.07098,PQ,,0,BELLACORICK,BELLACORICK,1.0,2.0,2.0,IE,7.8743,geocoded,True
1411,110.0,-6.3674201,53.2968693,1.01071,PQ,,0,AIRTON,AIRTON,1.0,11.0,11.0,IE,0.8635,geocoded,True
1421,110.0,-6.1746313,53.2914859,1.02056,PQ,,0,BLACKROCK,BLACKROCK,1.0,11.0,11.0,IE,0.9671,geocoded,True
1431,110.0,-7.342814,52.7988347,1.03591,PQ,,0,BALLYRAGGET,BALLYRAGGET,1.0,9.0,9.0,IE,4.7278,geocoded,True
1441,110.0,-8.733195,51.7739278,1.01144,PQ,,0,BANDON,BANDON,1.0,6.0,6.0,IE,9.2193,geocoded,True
1451,110.0,-6.3610231,53.4034934,0.99668,PQ,,0,CLOGHRAN,CLOGHRAN,1.0,11.0,11.0,IE,0.6738,geocoded,True
1461,110.0,-8.2546807,52.0958683,1.00753,PQ,,0,BARRYMORE,BARRYMORE,1.0,8.0,8.0,IE,8.7201,geocoded,True
1471,110.0,-6.2025287,53.409766,0.98661,PQ,,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,0.7892,geocoded,True
1472,220.0,-6.2025287,53.409766,0.9994,PQ,14703-XX,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,4.6607,geocoded,True
1474,380.0,-6.2025287,53.409766,1.05338,PQ,,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,5.247,geocoded,True
1481,110.0,-7.1703735,52.2286078,1.01123,PQ,,0,BUTLERSTOWN,BUTLERSTOWN,1.0,12.0,12.0,IE,8.9193,geocoded,True
1491,110.0,-6.4407825,53.6475064,1.00284,PQ,,0,DEENES,DEENES,1.0,7.0,7.0,IE,1.6005,geocoded,True
1501,110.0,-8.7045456,51.7851436,1.01132,PQ,,0,BRINNY,BRINNY,1.0,6.0,6.0,IE,9.2105,geocoded,True
1511,110.0,-9.4380864,52.3305984,1.04914,PQ,,0,CLOGHBOOLA,CLOGHBOOLA,1.0,5.0,5.0,IE,8.7488,geocoded,True
1521,110.0,-7.2520289,53.262337,1.03833,PQ,,0,BOGTOWN,BOGTOWN,1.0,11.0,11.0,IE,1.0063,neighbour mean,False
1522,220.0,-6.426741,53.4167869,1.00518,PQ,,0,CLONEE,CLONEE,1.0,11.0,11.0,IE,4.2314,geocoded,True
1531,110.0,-8.213100449999999,51.87816345,1.0043,PQ,,0,BALLYADAM,BALLYADAM,1.0,9.0,9.0,IE,10.1439,neighbour mean,False
1541,110.0,-6.2725523,52.6502648,1.02275,PQ,,0,BANOGE,BANOGE,1.0,9.0,9.0,IE,6.0292,geocoded,True
1551,110.0,-8.9086408,52.0384891,1.01713,PQ,,0,BOGGERAGH,BOGGERAGH,1.0,5.0,5.0,IE,9.502,geocoded,True
1561,110.0,-6.4525519,53.32992,1.00692,PQ,,0,COOLDERRIG,COOLDERRIG,1.0,11.0,11.0,IE,-0.4674,geocoded,True
1571,110.0,-8.2688178,55.0566404,1.03144,PQ,,0,ARDNAGAPPARY,ARDNAGAPPARY,1.0,1.0,1.0,IE,-1.1165,geocoded,True
1581,110.0,-6.3003671,53.372675,1.0076,PQ,,0,CABRA,CABRA,1.0,11.0,11.0,IE,3.4116,geocoded,True
1591,110.0,-7.2119609,53.4604224,1.0333,PQ,,0,CLONFAD,CLONFAD,1.0,11.0,11.0,IE,0.2694,geocoded,True
1601,110.0,-8.9141082,51.938191,1.01636,PQ,,0,CLASHAVOON,CLASHAVOON,1.0,5.0,5.0,IE,9.5108,geocoded,True
1602,220.0,-8.9141082,51.938191,1.01081,PQ,,0,CLASHAVOON,CLASHAVOON,1.0,5.0,5.0,IE,10.231,geocoded,True
1611,110.0,-9.2997624,51.9841297,1.02535,PQ,,0,CLONKEEN,CLONKEEN,1.0,5.0,5.0,IE,8.4676,geocoded,True
1621,110.0,-8.6360252,51.8859966,1.01183,PQ,,0,COOLROE,COOLROE,1.0,10.0,10.0,IE,9.522,geocoded,True
1631,110.0,-8.197639,54.1988681,1.04193,PQ,,0,CORDERRY,CORDERRY,1.0,1.0,1.0,IE,2.805,geocoded,True
1641,110.0,-8.8534296,53.3081124,1.05389,PQ,,0,CASHLA,CASHLA,1.0,2.0,2.0,IE,6.5436,geocoded,True
1642,220.0,-8.8534296,53.3081124,1.03788,PQ,,0,CASHLA,CASHLA,1.0,2.0,2.0,IE,7.9553,geocoded,True
1651,110.0,-9.548026,52.3787738,1.03765,PQ,,0,CLAHANE,CLAHANE,1.0,5.0,5.0,IE,8.0121,geocoded,True
1661,110.0,-9.2692746,53.8665266,1.05592,PQ,,0,CASTLEBAR,CASTLEBAR,1.0,2.0,2.0,IE,5.9929,geocoded,True
1671,110.0,-7.092703,53.2901576,1.03585,PQ,,0,KILCUMBER,KILCUMBER,1.0,11.0,11.0,IE,1.4449,geocoded,True
1681,110.0,-8.8633008,51.8978487,1.01541,PQ,,0,CARRIGADROHI,CARRIGADROHI,1.0,6.0,6.0,IE,9.4776,geocoded,True
